cew_code,cew_name,cfoi_code,cfoi_name,display_level
11,"NAICS 11 Agriculture, forestry, fishing and hunting",GP2AFH,"Agriculture, Forestry, Fishing And Hunting",3
21,"NAICS 21 Mining, quarrying, and oil and gas extraction",GP2MIN,Mining,3
22,NAICS 22 Utilities,SP2UTL,Utilities,3
23,NAICS 23 Construction,GP2CON,Construction,3
42,NAICS 42 Wholesale trade,SP2WHT,Wholesale Trade,3
51,NAICS 51 Information,SP2INF,Information,3
52,NAICS 52 Finance and insurance,SP2FIN,Finance And Insurance,3
53,NAICS 53 Real estate and rental and leasing,SP2RRL,Real Estate And Rental And Leasing,3
54,NAICS 54 Professional and technical services,SP2PST,Professional And Technical Services,3
55,NAICS 55 Management of companies and enterprises,SP2MCE,Management Of Companies And Enterprises,3
56,NAICS 56 Administrative and waste services,SP2ADW,Administrative and waste services,3
61,NAICS 61 Educational services,SP2EDS,Educational Services,3
62,NAICS 62 Health care and social assistance,SP2HSA,Health Care And Social Assistance,3
71,"NAICS 71 Arts, entertainment, and recreation",SP2AER,"Arts, Entertainment, And Recreation",3
72,NAICS 72 Accommodation and food services,SP2AFS,Accommodation And Food Services,3
81,"NAICS 81 Other services, except public administration",SP2OTS,"Other Services, Except Public Administration",3
92,NAICS 92 Public administration,SP2PAD,Public Administration,3
44-45,NAICS 44-45 Retail trade,SP2RET,Retail trade,3
31-33,NAICS 31-33 Manufacturing,GP2MFG,Manufacturing,3
48-49,NAICS 48-49 Transportation and warehousing,SP2TRW,Transportation and warehousing,3
1011,Natural resources and mining,GP1NRM,Natural Resources And Mining,2
1012,Construction,GP1CON,Construction,2
1013,Manufacturing,GP1MFG,Manufacturing,2
1021,"Trade, transportation, and utilities",SP1TTU,"Trade, Transportation, And Utilities",2
1022,Information,SP1INF,Information,2
1023,Financial activities,SP1FIA,Financial Activities,2
1024,Professional and business services,SP1PBS,Professional And Business Services,2
1025,Education and health services,SP1EHS,Educational And Health Services,2
1026,Leisure and hospitality,SP1LEH,Leisure And Hospitality,2
1027,Other services,SP1OTS,"Other Services, Except Public Administration",2
1028,Public administration,SP1PAD,Public Administration,2
101,Goods-producing,GP1AAA,Goods producing,1
102,Service-providing,SP1AAA,Service providing,1
