Year,State,Governor
2012,Alabama,Robert Bentley (R)
2012,Alaska,Sean Parnell (R)
2012,American Samoa,Togiola T.A. Tulafono (D)
2012,Arizona,Jan Brewer (R)
2012,Arkansas,Mike Beebe (D)
2012,California,Jerry Brown (D)
2012,Colorado,John Hickenlooper (D)
2012,Connecticut,Dan Malloy (D)
2012,Delaware,Jack Markell (D)
2012,Florida,Rick Scott (R)
2012,Georgia,Nathan Deal (R)
2012,Guam,Eddie Calvo (R)
2012,Hawaii,Neil Abercrombie (D)
2012,Idaho,C.L. “Butch” Otter  (R)
2012,Illinois,Pat Quinn (D)
2012,Indiana,Mitch Daniels (R)
2012,Iowa,Terry Branstad (R)
2012,Kansas,Sam Brownback (R)
2012,Kentucky,Steven L. Beshear (D)
2012,Louisiana,Bobby Jindal  (R)
2012,Maine,Paul LePage (R)
2012,Maryland,Martin O’Malley (D)
2012,Massachusetts,Deval Patrick (D)
2012,Michigan,Rick Snyder (R)
2012,Minnesota,Mark Dayton (D)
2012,Mississippi,Phil Bryant (R)
2012,Missouri,Jay Nixon (D)
2012,Montana,Brian Schweitzer (D)
2012,Nebraska,Dave Heineman (R)
2012,Nevada,Brian Sandoval (R)
2012,New Hampshire,John Lynch  (D)
2012,New Jersey,Chris Christie (R)
2012,New Mexico,Susana Martinez (R)
2012,New York,Andrew Cuomo (D)
2012,North Carolina,Beverly Perdue  (D)
2012,North Dakota,Jack Dalrymple (R)
2012,Northern Mariana Is.,Benígno Fitial (R)
2012,Ohio,John Kasich (R)
2012,Oklahoma,Mary Fallin (R)
2012,Oregon,John Kitzhaber (D)
2012,Pennsylvania,Tom Corbett (R)
2012,Puerto Rico,Luis G. Fortuño  (R)
2012,Rhode Island,Lincoln Chafee (I)
2012,South Carolina,Nikki R. Haley (R)
2012,South Dakota,Dennis Daugaard (R)
2012,Tennessee,Bill Haslam (R)
2012,Texas,Rick Perry (R)
2012,Utah,Gary R. Herbert (R)
2012,Vermont,Peter Shumlin (D)
2012,Virgin Islands,"John deJongh, Jr. (D)"
2012,Virginia,Bob McDonnell (R)
2012,Washington,Chris Gregoire (D)
2012,West Virginia,Earl Ray Tomblin (D)
2012,Wisconsin,Scott Walker (R)
2012,Wyoming,Matthew Mead (R)
2011,Alabama,Robert Bentley (R)
2011,Alaska,Sean Parnell (R)
2011,American Samoa,Togiola T.A. Tulafono (D)
2011,Arizona,Jan Brewer (R)
2011,Arkansas,Mike Beebe (D)
2011,California,Jerry Brown (D)
2011,Colorado,John Hickenlooper (D)
2011,Connecticut,Dan Malloy (D)
2011,Delaware,Jack Markell (D)
2011,Florida,Rick Scott (R)
2011,Georgia,Nathan Deal (R)
2011,Guam,Eddie Calvo (R)
2011,Hawaii,Neil Abercrombie (D)
2011,Idaho,C.L. “Butch” Otter  (R)
2011,Illinois,Pat Quinn (D)
2011,Indiana,Mitch Daniels (R)
2011,Iowa,Terry Branstad (R)
2011,Kansas,Sam Brownback (R)
2011,Kentucky,Steven L. Beshear (D)
2011,Louisiana,Bobby Jindal  (R)
2011,Maine,Paul LePage (R)
2011,Maryland,Martin O’Malley (D)
2011,Massachusetts,Deval Patrick (D)
2011,Michigan,Rick Snyder (R)
2011,Minnesota,Mark Dayton (D)
2011,Mississippi,Haley Barbour (R)
2011,Missouri,Jay Nixon (D)
2011,Montana,Brian Schweitzer (D)
2011,Nebraska,Dave Heineman (R)
2011,Nevada,Brian Sandoval (R)
2011,New Hampshire,John Lynch  (D)
2011,New Jersey,Chris Christie (R)
2011,New Mexico,Susana Martinez (R)
2011,New York,Andrew Cuomo (D)
2011,North Carolina,Beverly Perdue  (D)
2011,North Dakota,Jack Dalrymple (R)
2011,Northern Mariana Is.,Benígno Fitial (R)
2011,Ohio,John Kasich (R)
2011,Oklahoma,Mary Fallin (R)
2011,Oregon,John Kitzhaber (D)
2011,Pennsylvania,Tom Corbett (R)
2011,Puerto Rico,Luis G. Fortuño  (R)
2011,Rhode Island,Lincoln Chafee (I)
2011,South Carolina,Nikki R. Haley (R)
2011,South Dakota,Dennis Daugaard (R)
2011,Tennessee,Bill Haslam (R)
2011,Texas,Rick Perry (R)
2011,Utah,Gary R. Herbert (R)
2011,Vermont,Peter Shumlin (D)
2011,Virgin Islands,"John deJongh, Jr. (D)"
2011,Virginia,Bob McDonnell (R)
2011,Washington,Chris Gregoire (D)
2011,West Virginia,Earl Ray Tomblin (D)
2011,Wisconsin,Scott Walker (R)
2011,Wyoming,Matthew Mead (R)
2010,Alabama,Bob Riley (R)
2010,Alaska,Sean Parnell (R)
2010,American Samoa,Togiola T.A. Tulafono (D)
2010,Arizona,Jan Brewer (R)
2010,Arkansas,Mike Beebe (D)
2010,California,Arnold Schwarzenegger (R)
2010,Colorado,Bill Ritter (D)
2010,Connecticut,M. Jodi Rell (R)
2010,Delaware,Jack Markell (D)
2010,Florida,Charlie Crist (R)
2010,Georgia,Sonny Perdue (R)
2010,Guam,Felix P. Camacho (R)
2010,Hawaii,Neil Abercrombie (D)
2010,Idaho,C.L. “Butch” Otter  (R)
2010,Illinois,Pat Quinn (D)
2010,Indiana,Mitch Daniels (R)
2010,Iowa,Chet Culver (D)
2010,Kansas,Mark Parkinson (D)
2010,Kentucky,Steven L. Beshear (D)
2010,Louisiana,Bobby Jindal  (R)
2010,Maine,John E. Baldacci (D)
2010,Maryland,Martin O’Malley (D)
2010,Massachusetts,Deval Patrick (D)
2010,Michigan,Jennifer M. Granholm (D)
2010,Minnesota,Tim Pawlenty (R )
2010,Mississippi,Haley Barbour (R)
2010,Missouri,Jay Nixon (D)
2010,Montana,Brian Schweitzer (D)
2010,Nebraska,Dave Heineman (R)
2010,Nevada,Jim Gibbons (R)
2010,New Hampshire,John Lynch  (D)
2010,New Jersey,Chris Christie (R)
2010,New Mexico,Bill Richardson (D)
2010,New York,David Paterson (D)
2010,North Carolina,Beverly Perdue  (D)
2010,North Dakota,Jack Dalrymple (R)
2010,Northern Mariana Is.,Benígno Fitial (Covenant)
2010,Ohio,Ted Strickland (D)
2010,Oklahoma,Brad Henry (D)
2010,Oregon,Ted Kulongoski (D)
2010,Pennsylvania,Edward G. Rendell (D)
2010,Puerto Rico,Luis G. Fortuño  (R)
2010,Rhode Island,Don Carcieri (R)
2010,South Carolina,Mark Sanford (R)
2010,South Dakota,Mike Rounds (R)
2010,Tennessee,Phil Bredesen (D)
2010,Texas,Rick Perry (R)
2010,Utah,Gary R. Herbert (R)
2010,Vermont,Jim Douglas (R)
2010,Virginia,Bob McDonnell (R)
2010,Virgin Islands,"John deJongh, Jr. (D)"
2010,Washington,Chris Gregoire (D)
2010,West Virginia,Earl Ray Tomblin (D)
2010,Wisconsin,Jim Doyle (D)
2010,Wyoming,Dave Freudenthal (D)
2009,Alabama,Bob Riley (R)
2009,Alaska,Sean Parnell (R)
2009,American Samoa,Togiola T.A. Tulafono (D)
2009,Arizona,Jan Brewer (R)
2009,Arkansas,Mike Beebe (D)
2009,California,Arnold Schwarzenegger (R)
2009,Colorado,Bill Ritter (D)
2009,Connecticut,M. Jodi Rell (R)
2009,Delaware,Jack Markell (D)
2009,Florida,Charlie Crist (R)
2009,Georgia,Sonny Perdue (R)
2009,Guam,Felix P. Camacho (R)
2009,Hawaii,Linda Lingle (R)
2009,Idaho,C.L. “Butch” Otter  (R)
2009,Illinois,Pat Quinn (D)
2009,Indiana,Mitch Daniels (R)
2009,Iowa,Chet Culver (D)
2009,Kansas,Mark Parkinson (D)
2009,Kentucky,Steven L. Beshear (D)
2009,Louisiana,Bobby Jindal  (R)
2009,Maine,John E. Baldacci (D)
2009,Maryland,Martin O’Malley (D)
2009,Massachusetts,Deval Patrick (D)
2009,Michigan,Jennifer M. Granholm (D)
2009,Minnesota,Tim Pawlenty (R )
2009,Mississippi,Haley Barbour (R)
2009,Missouri,Jay Nixon (D)
2009,Montana,Brian Schweitzer (D)
2009,Nebraska,Dave Heineman (R)
2009,Nevada,Jim Gibbons (R)
2009,New Hampshire,John Lynch  (D)
2009,New Jersey,Jon Corzine (D)
2009,New Mexico,Bill Richardson (D)
2009,New York,David Paterson (D)
2009,North Carolina,Beverly Perdue  (D)
2009,North Dakota,John Hoeven (R)
2009,Northern Mariana Is.,Benígno Fitial (Covenant)
2009,Ohio,Ted Strickland (D)
2009,Oklahoma,Brad Henry (D)
2009,Oregon,Ted Kulongoski (D)
2009,Pennsylvania,Edward G. Rendell (D)
2009,Puerto Rico,Luis G. Fortuño  (R)
2009,Rhode Island,Don Carcieri (R)
2009,South Carolina,Mark Sanford (R)
2009,South Dakota,Mike Rounds (R)
2009,Tennessee,Phil Bredesen (D)
2009,Texas,Rick Perry (R)
2009,Utah,Gary R. Herbert (R)
2009,Vermont,Jim Douglas (R)
2009,Virginia,Tim Kaine (D)
2009,Virgin Islands,"John deJongh, Jr. (D)"
2009,Washington,Chris Gregoire (D)
2009,West Virginia,Joe Manchin III (D)
2009,Wisconsin,Jim Doyle (D)
2009,Wyoming,Dave Freudenthal (D)
2008,Alabama,Bob Riley (R)
2008,Alaska,Sarah Palin (R)
2008,American Samoa,Togiola T.A. Tulafono (D)
2008,Arizona,Janet Napolitano (D)
2008,Arkansas,Mike Beebe (D)
2008,California,Arnold Schwarzenegger (R)
2008,Colorado,Bill Ritter (D)
2008,Connecticut,M. Jodi Rell (R)
2008,Delaware,Ruth Ann Minner (D)
2008,Florida,Charlie Crist (R)
2008,Georgia,Sonny Perdue (R)
2008,Guam,Felix P. Camacho (R)
2008,Hawaii,Linda Lingle (R)
2008,Idaho,C.L. “Butch” Otter  (R)
2008,Illinois,Rod Blagojevich (D)
2008,Indiana,Mitch Daniels (R)
2008,Iowa,Chet Culver (D)
2008,Kansas,Kathleen Sebelius (D)
2008,Kentucky,Steven L. Beshear (D)
2008,Louisiana,Bobby Jindal  (R)
2008,Maine,John E. Baldacci (D)
2008,Maryland,Martin O’Malley (D)
2008,Massachusetts,Deval Patrick (D)
2008,Michigan,Jennifer M. Granholm (D)
2008,Minnesota,Tim Pawlenty (R )
2008,Mississippi,Haley Barbour (R)
2008,Missouri,Matt Blunt (R)
2008,Montana,Brian Schweitzer (D)
2008,Nebraska,Dave Heineman (R)
2008,Nevada,Jim Gibbons (R)
2008,New Hampshire,John Lynch  (D)
2008,New Jersey,Jon Corzine (D)
2008,New Mexico,Bill Richardson (D)
2008,New York,David Paterson (D)
2008,North Carolina,Mike F. Easley  (D)
2008,North Dakota,John Hoeven (R)
2008,Northern Mariana Is.,Benígno Fitial (Covenant)
2008,Ohio,Ted Strickland (D)
2008,Oklahoma,Brad Henry (D)
2008,Oregon,Ted Kulongoski (D)
2008,Pennsylvania,Edward G. Rendell (D)
2008,Puerto Rico,Aníbal Acevedo Vilá  (D)
2008,Rhode Island,Don Carcieri (R)
2008,South Carolina,Mark Sanford (R)
2008,South Dakota,Mike Rounds (R)
2008,Tennessee,Phil Bredesen (D)
2008,Texas,Rick Perry (R)
2008,Utah,"Jon Huntsman, Jr. (R)"
2008,Vermont,Jim Douglas (R)
2008,Virginia,Tim Kaine (D)
2008,Virgin Islands,"John deJongh, Jr. (D)"
2008,Washington,Chris Gregoire (D)
2008,West Virginia,Joe Manchin III (D)
2008,Wisconsin,Jim Doyle (D)
2008,Wyoming,Dave Freudenthal (D)
2007,Alabama,Bob Riley (R)
2007,Alaska,Sarah Palin (R)
2007,American Samoa,Togiola T.A. Tulafono (D)
2007,Arizona,Janet Napolitano (D)
2007,Arkansas,Mike Beebe (D)
2007,California,Arnold Schwarzenegger (R)
2007,Colorado,Bill Ritter (D)
2007,Connecticut,M. Jodi Rell (R)
2007,Delaware,Ruth Ann Minner (D)
2007,Florida,Charlie Crist (R)
2007,Georgia,Sonny Perdue (R)
2007,Guam,Felix P. Camacho (R)
2007,Hawaii,Linda Lingle (R)
2007,Idaho,C.L. “Butch” Otter  (R)
2007,Illinois,Rod Blagojevich (D)
2007,Indiana,Mitch Daniels (R)
2007,Iowa,Chet Culver (D)
2007,Kansas,Kathleen Sebelius (D)
2007,Kentucky,Steven L. Beshear (D)
2007,Louisiana,Kathleen Babineaux Blanco  (D)
2007,Maine,John E. Baldacci (D)
2007,Maryland,Martin O’Malley (D)
2007,Massachusetts,Deval Patrick (D)
2007,Michigan,Jennifer M. Granholm (D)
2007,Minnesota,Tim Pawlenty (R )
2007,Mississippi,Haley Barbour (R)
2007,Missouri,Matt Blunt (R)
2007,Montana,Brian Schweitzer (D)
2007,Nebraska,Dave Heineman (R)
2007,Nevada,Jim Gibbons (R)
2007,New Hampshire,John Lynch  (D)
2007,New Jersey,Jon Corzine (D)
2007,New Mexico,Bill Richardson (D)
2007,New York,Eliot Spitzer (D)
2007,North Carolina,Mike F. Easley  (D)
2007,North Dakota,John Hoeven (R)
2007,Northern Mariana Is.,Benígno Fitial (Covenant)
2007,Ohio,Ted Strickland (D)
2007,Oklahoma,Brad Henry (D)
2007,Oregon,Ted Kulongoski (D)
2007,Pennsylvania,Edward G. Rendell (D)
2007,Puerto Rico,Aníbal Acevedo Vilá  (D)
2007,Rhode Island,Don Carcieri (R)
2007,South Carolina,Mark Sanford (R)
2007,South Dakota,Mike Rounds (R)
2007,Tennessee,Phil Bredesen (D)
2007,Texas,Rick Perry (R)
2007,Utah,"Jon Huntsman, Jr. (R)"
2007,Vermont,Jim Douglas (R)
2007,Virginia,Tim Kaine (D)
