naics_code,name,display_name
55,Management Of Companies And Enterprises,Management
21,Mining,
22,Utilities,
61,Educational Services,Education
51,Information,Communications and Information Technology
42,Wholesale Trade,
62,Health Care And Social Assistance,Health and Social Care 
52,Finance And Insurance,
71,"Arts, Entertainment, And Recreation",Entertainment
53,Real Estate And Rental And Leasing,Real Estate
72,Accommodation And Food Services,Hospitality and Food Services
54,Professional And Technical Services,Professional Services
56,Administrative and waste services,Public services
81,"Other Services, Except Public Administration",Other Services
44-45,Retail trade,
31-33,Manufacturing,
92,Public Administration,
48-49,Transportation and warehousing,Transport and Warehousing
23,Construction,
