industry_code,industry,national_fatals_total,states_fatals_sum,pct_coverage,all_states_count,fatal_states_count
11116X,Rice Farming,10,0,0,7,
11131X,Orange Groves,4,0,0,5,
111991,Sugar Beet Farming,3,0,0,9,
11231X,Chicken Egg Production,4,0,0,35,
11293X,Fur-Bearing Animal And Rabbit Production,1,0,0,10,
11299X,All Other Animal Production,17,0,0,47,
114119,Other Marine Fishing,5,0,0,4,
11421X,Hunting And Trapping,1,0,0,29,
1142XX,Hunting And Trapping,1,0,0,29,
212319,Other Crushed And Broken Stone Mining And Quarrying,3,0,0,37,
213113,Support Activities For Coal Mining,8,0,0,24,
236117,New Housing Operative Builders,8,0,0,52,
238121,Residential Structural Steel And Precast Concrete Contractors,7,0,0,50,
238132,Nonresidential Framing Contractors,21,0,0,51,
238191,"Other Residential Foundation, Structure, And Building Exterior Contractors",6,0,0,50,
238192,"Other Nonresidential Foundation, Structure, And Building Exterior Contractors",20,0,0,51,
238331,Residential Flooring Contractors,8,0,0,51,
238391,Other Residential Building Finishing Contractors,5,0,0,52,
311119,Other Animal Food Manufacturing,44,0,0,40,
311222,Soybean Processing,1,0,0,15,
31123X,Breakfast Cereal Manufacturing,3,0,0,10,
311411,"Frozen Fruit, Juice, And Vegetable Manufacturing",3,0,0,17,
31141X,Frozen Food Manufacturing,3,0,0,37,
311511,Fluid Milk Manufacturing,15,0,0,37,
31151X,Dairy Product (Except Frozen) Manufacturing,33,0,0,39,
3115XX,Dairy Product Manufacturing,46,0,0,49,
311613,Rendering And Meat Byproduct Processing,9,0,0,25,
311919,Other Snack Food Manufacturing,3,0,0,28,
311991,Perishable Prepared Food Manufacturing,6,0,0,41,
3141XX,Textile Furnishings Mills,3,0,0,51,
3149XX,Other Textile Product Mills,3,0,0,51,
314XXX,Textile Product Mills,11,0,0,52,
3152XX,Cut And Sew Apparel Manufacturing,3,0,0,49,
315XXX,Apparel Manufacturing,10,0,0,52,
31611X,Leather And Hide Tanning And Finishing,3,0,0,27,
3161XX,Leather And Hide Tanning And Finishing,3,0,0,27,
316XXX,Leather And Allied Product Manufacturing,3,0,0,47,
321114,Wood Preservation,3,0,0,42,
321211,Hardwood Veneer And Plywood Manufacturing,4,0,0,29,
321219,Reconstituted Wood Product Manufacturing,3,0,0,26,
321918,Other Millwork (Including Flooring),3,0,0,44,
322211,Corrugated And Solid Fiber Box Manufacturing,13,0,0,42,
322215,Nonfolding Sanitary Food Container Manufacturing,1,0,0,11,
322222,Coated And Laminated Paper Manufacturing,3,0,0,30,
322232,Envelope Manufacturing,4,0,0,24,
32229X,Other Converted Paper Product Manufacturing,3,0,0,38,
323110,Commercial Lithographic Printing,18,0,0,52,
323114,Quick Printing,3,0,0,52,
324199,All Other Petroleum And Coal Products Manufacturing,3,0,0,13,
32512X,Industrial Gas Manufacturing,3,0,0,38,
325132,Synthetic Organic Dye And Pigment Manufacturing,1,0,0,9,
325188,All Other Basic Inorganic Chemical Manufacturing,3,0,0,35,
