state_code,state_name,abbrv,emplvl_total,fatals_total,expect_fatals_sum,residual,fatals_per_100k_adj
25,Massachusetts,MA,31831707,664,1007.100432246811996508493208,-343.100432246811996508493208,-1.0778574716298186475
04,Arizona,AZ,24524952,854,985.186761567591294948802124,-131.186761567591294948802124,-0.5349113897046212158
32,Nevada,NV,11744768,473,461.03375574271688687417332,11.96624425728311312582668,0.1018857439949696165
08,Colorado,CO,22153123,1054,872.900459721335132975319782,181.099540278664867024680218,0.8174898874468618579
01,Alabama,AL,18671206,1026,778.663774539253743057362295,247.336225460746256942637705,1.3246933565016970888
46,South Dakota,SD,3855423,294,151.18483922042978743288202,142.81516077957021256711798,3.7042669709541654072
09,Connecticut,CT,16398478,396,499.500946792623090287484888,-103.500946792623090287484888,-0.6311619090053545841
41,Oregon,OR,16418239,625,893.869316843994876574775488,-268.869316843994876574775488,-1.6376257943619585302
24,Maryland,MD,24910688,795,849.576200148029178192609251,-54.576200148029178192609251,-0.2190874862550130217
45,South Carolina,SC,18113486,950,710.833276994075648527883607,239.166723005924351472116393,1.3203793185139754516
44,Rhode Island,RI,4651568,83,140.157375480185381453319193,-57.157375480185381453319193,-1.2287765218134053174
05,Arkansas,AR,11461561,808,549.624146585743886715154738,258.375853414256113284845262,2.2542815364700856479
16,Idaho,ID,6180606,337,351.178889345539974218461983,-14.178889345539974218461983,-0.2294093709506798236
40,Oklahoma,OK,14928819,942,665.978576685893072864222164,276.021423314106927135777836,1.8489166712658712463
10,Delaware,DE,4109864,105,131.347560542220410349537896,-26.347560542220410349537896,-0.6410810805958642512
27,Minnesota,MN,26229726,715,926.095934892072443940459747,-211.095934892072443940459747,-0.8047965689465168029
15,Hawaii,HI,5999925,211,257.651068126530212550432476,-46.651068126530212550432476,-0.7775275212028519115
02,Alaska,AK,3104106,333,161.172229595029946342845765,171.827770404970053657154235,5.5354994450888614518
23,Maine,ME,5908631,200,260.270754187026400689542277,-60.270754187026400689542277,-1.0200460002837611739
26,Michigan,MI,40741731,1307,1373.453925992318463554402155,-66.453925992318463554402155,-0.1631102173648892423
31,Nebraska,NE,9012088,504,408.580908266733545150566047,95.419091733266454849433953,1.0587900576788248722
53,Washington,WA,28225681,834,1478.154243524673880882503174,-644.154243524673880882503174,-2.2821566059811767903
33,New Hampshire,NH,6148854,121,187.386702969590619106663699,-66.386702969590619106663699,-1.0796597702529710269
06,California,CA,150204850,4354,6351.138357347407281360957492,-1997.138357347407281360957492,-1.3296097678253447085
39,Ohio,OH,51609073,1716,1833.771730289776911399848072,-117.771730289776911399848072,-0.2281996622760050571
48,Texas,TX,100204374,4818,4504.219667711448372970578229,313.780332288551627029421771,0.3131403548197922249
20,Kansas,KS,13177197,813,498.560792840032780330428041,314.439207159967219669571959,2.3862374309192404095
13,Georgia,GA,38873899,1637,1487.337182648389627257339104,149.662817351610372742660896,0.3849956428389402687
18,Indiana,IN,28198468,1343,1084.217832879983288800436471,258.782167120016711199563529,0.9177171154121447704
17,Illinois,IL,56936871,1874,1954.400029890428479916598735,-80.400029890428479916598735,-0.1412090767868653687
50,Vermont,VT,2983543,105,108.743905928690013945911124,-3.743905928690013945911124,-0.1254852344574894327
12,Florida,FL,74851319,3103,2996.017217631000209018862026,106.982782368999790981137974,0.1429270503155726501
11,District of Columbia,DC,6809911,118,200.181437280539816457038235,-82.181437280539816457038235,-1.2067916494142113819
56,Wyoming,WY,2674363,362,180.635797388744891854959455,181.364202611255108145040545,6.7815850956379185677
54,West Virginia,WV,6978178,576,326.938693861088904657781651,249.061306138911095342218349,3.5691452143942314934
55,Wisconsin,WI,27105812,982,1045.631799062899601053940959,-63.631799062899601053940959,-0.2347533402168494382
34,New Jersey,NJ,38499708,1002,1274.894059874042075741829329,-272.894059874042075741829329,-0.7088211159264950159
28,Mississippi,MS,11020883,832,502.337097045942538900660182,329.662902954057461099339818,2.9912567164904795841
47,Tennessee,TN,26504493,1333,1021.586032220594693545194827,311.413967779405306454805173,1.1749478391433682827
30,Montana,MT,4204700,438,193.345892121394235712716878,244.654107878605764287283122,5.8185865312294756888
22,Louisiana,LA,18529416,1197,966.377008192418880645497967,230.622991807581119354502033,1.2446317347917555489
21,Kentucky,KY,17491599,1129,673.716434406857967126080239,455.283565593142032873919761,2.6028699011059082299
42,Pennsylvania,PA,55492656,2132,1971.263342380519240928152073,160.736657619480759071847927,0.2896539275746339463
51,Virginia,VA,35740511,1481,1386.970028999947735216738763,94.029971000052264783261237,0.2630907291729887823
35,New Mexico,NM,7878784,460,386.167785218307399086722244,73.832214781692600913277756,0.9371016489561409592
19,Iowa,IA,14530963,848,595.482324991619202345652551,252.517675008380797654347449,1.7377903653624387981
49,Utah,UT,11540968,527,501.496174868138643131295784,25.503825131861356868704216,0.2209851472758728459
38,North Dakota,ND,3490687,320,163.564531099996312159690759,156.435468900003687840309241,4.4815094822309673666
72,Puerto Rico,PR,9915298,245,376.883142804636894487585652,-131.883142804636894487585652,-1.3300976209150435467
37,North Carolina,NC,38783249,1588,1456.90078277925623265787986,131.09921722074376734212014,0.3380305173007649961
36,New York,NY,84129445,2162,2561.252856373027653198737514,-399.252856373027653198737514,-0.4745697019313840157
29,Missouri,MO,26415846,1443,1001.493233445747550866594236,441.506766554252449133405764,1.6713709133307805063
