cfoi_code,state,all_fatals,lvl_1_fatals_sum,lvl_2_fatals_sum,lvl_3_fatals_sum,lvl_4_fatals_sum,lvl_5_fatals_sum,lvl_6_fatals_sum,lvl_1_pct_cover,lvl_2_pct_cover,lvl_3_pct_cover,lvl_4_pct_cover,lvl_5_pct_cover,lvl_6_pct_cover
S01,Alabama,1026,1026,974,936,631,452,310,100,94.931773879142300195,91.228070175438596491,61.500974658869395712,44.054580896686159844,30.21442495126705653
S02,Alaska,333,333,280,252,162,145,141,100,84.084084084084084084,75.675675675675675676,48.648648648648648649,43.543543543543543544,42.342342342342342342
S04,Arizona,854,854,812,750,481,320,190,100,95.081967213114754098,87.822014051522248244,56.323185011709601874,37.470725995316159251,22.248243559718969555
S05,Arkansas,808,808,761,710,505,369,274,100,94.183168316831683168,87.871287128712871287,62.5,45.668316831683168317,33.910891089108910891
S06,California,4354,4354,4348,4326,3816,2904,2317,100,99.86219568213137345,99.356913183279742765,87.64354616444648599,66.697289848415250345,53.215434083601286174
S08,Colorado,1054,1054,1033,980,664,399,277,100,98.007590132827324478,92.979127134724857685,62.99810246679316888,37.855787476280834915,26.280834914611005693
S09,Connecticut,396,396,340,312,209,140,95,100,85.858585858585858586,78.787878787878787879,52.777777777777777778,35.353535353535353535,23.989898989898989899
S10,Delaware,105,97,45,26,15,12,11,92.380952380952380952,42.857142857142857143,24.761904761904761905,14.285714285714285714,11.428571428571428571,10.47619047619047619
S11,District of Columbia,118,114,77,53,21,2,2,96.610169491525423729,65.25423728813559322,44.915254237288135593,17.796610169491525424,1.694915254237288136,1.694915254237288136
S12,Florida,3103,3103,3084,3058,2702,2108,1687,100,99.387689332903641637,98.549790525298098614,87.077022236545278762,67.934257170480180471,54.366741862713503062
S13,Georgia,1637,1637,1610,1567,1248,946,703,100,98.350641417226634087,95.72388515577275504,76.237018937080024435,57.788637751985339035,42.944410507025045816
S15,Hawaii,211,211,157,122,67,40,34,100,74.407582938388625592,57.81990521327014218,31.753554502369668246,18.957345971563981043,16.113744075829383886
S16,Idaho,337,337,267,229,144,65,44,100,79.228486646884272997,67.952522255192878338,42.729970326409495549,19.287833827893175074,13.056379821958456973
S17,Illinois,1874,1874,1864,1822,1466,1014,736,100,99.466382070437566702,97.225186766275346852,78.228388473852721451,54.108858057630736393,39.274279615795090715
S18,Indiana,1343,1343,1321,1277,1016,608,463,100,98.361876396128071482,95.085629188384214445,75.651526433358153388,45.271779597915115413,34.47505584512285927
S19,Iowa,848,848,805,776,587,251,176,100,94.929245283018867925,91.509433962264150943,69.22169811320754717,29.599056603773584906,20.754716981132075472
S20,Kansas,813,813,782,744,537,343,183,100,96.186961869618696187,91.512915129151291513,66.051660516605166052,42.189421894218942189,22.509225092250922509
S21,Kentucky,1129,1129,1096,1049,755,512,377,100,97.077059344552701506,92.91408325952170062,66.873339238263950399,45.349867139061116032,33.392382639503985828
S22,Louisiana,1197,1197,1172,1124,868,675,525,100,97.911445279866332498,93.901420217209690894,72.514619883040935673,56.390977443609022556,43.859649122807017544
S23,Maine,200,200,159,141,67,48,46,100,79.5,70.5,33.5,24,23
S24,Maryland,795,795,763,692,507,381,253,100,95.974842767295597484,87.044025157232704403,63.773584905660377358,47.924528301886792453,31.82389937106918239
S25,Massachusetts,664,664,628,590,425,314,208,100,94.578313253012048193,88.855421686746987952,64.006024096385542169,47.289156626506024096,31.325301204819277108
S26,Michigan,1307,1307,1287,1238,954,636,442,100,98.469778117827084927,94.720734506503442999,72.991583779648048967,48.661055853098699311,33.817903596021423106
S27,Minnesota,715,715,669,623,451,230,139,100,93.566433566433566434,87.132867132867132867,63.076923076923076923,32.167832167832167832,19.440559440559440559
S28,Mississippi,832,832,780,731,468,327,214,100,93.75,87.860576923076923077,56.25,39.302884615384615385,25.721153846153846154
S29,Missouri,1443,1443,1433,1369,1067,814,672,100,99.306999306999306999,94.871794871794871795,73.943173943173943174,56.410256410256410256,46.569646569646569647
S30,Montana,438,438,377,331,215,170,149,100,86.073059360730593607,75.570776255707762557,49.086757990867579909,38.812785388127853881,34.018264840182648402
S31,Nebraska,504,504,456,425,327,128,93,100,90.47619047619047619,84.325396825396825397,64.880952380952380952,25.396825396825396825,18.452380952380952381
S32,Nevada,473,473,416,361,241,150,85,100,87.949260042283298097,76.321353065539112051,50.951374207188160677,31.712473572938689218,17.97040169133192389
S33,New Hampshire,121,115,68,48,22,8,6,95.041322314049586777,56.198347107438016529,39.669421487603305785,18.181818181818181818,6.611570247933884298,4.958677685950413223
S34,New Jersey,1002,1002,980,933,716,520,371,100,97.804391217564870259,93.113772455089820359,71.457085828343313373,51.896207584830339321,37.02594810379241517
S35,New Mexico,460,460,401,357,224,136,111,100,87.17391304347826087,77.608695652173913043,48.695652173913043478,29.565217391304347826,24.130434782608695652
S37,North Carolina,1588,1588,1574,1510,1181,908,693,100,99.118387909319899244,95.088161209068010076,74.370277078085642317,57.178841309823677582,43.639798488664987406
S38,North Dakota,320,320,284,252,193,88,50,100,88.75,78.75,60.3125,27.5,15.625
S39,Ohio,1716,1716,1699,1655,1345,854,622,100,99.009324009324009324,96.445221445221445221,78.379953379953379953,49.7668997668997669,36.247086247086247086
S40,Oklahoma,942,942,892,851,635,452,365,100,94.692144373673036093,90.33970276008492569,67.409766454352441614,47.983014861995753715,38.747346072186836518
S41,Oregon,625,625,584,528,349,239,199,100,93.44,84.48,55.84,38.24,31.84
S42,Pennsylvania,2132,2132,2123,2077,1727,1303,1035,100,99.577861163227016886,97.420262664165103189,81.00375234521575985,61.116322701688555347,48.545966228893058161
S43,Puerto Rico,245,243,222,206,159,111,97,99.183673469387755102,90.612244897959183673,84.08163265306122449,64.897959183673469388,45.306122448979591837,39.591836734693877551
